,county,state,total_votes20,votes20_donald_trump,votes20_joe_biden,cases,deaths,totalpop,men,women,votingagecitizen,county_st,hispanic %,white %,black %,native %,asian %,pacific %,hispanic_pop,white_pop,black_pop,native_pop,asian_pop,pacific_pop,cases_per_100k,deaths_per_100k
0,Abbeville,SC,12433.0,8215.0,4101.0,805.0,17.0,24788.0,12044.0,12744.0,19452.0,"Abbeville,SC",0.013000000000000001,0.6890000000000001,0.276,0.001,0.003,0.0,322.0,17079.0,6841.0,25.0,74.0,0.0,3247.539131837986,68.58157172825561
1,Acadia,LA,28425.0,22596.0,5443.0,3182.0,102.0,62607.0,30433.0,32174.0,45197.0,"Acadia,LA",0.024,0.775,0.17600000000000002,0.001,0.001,0.0,1503.0,48520.0,11019.0,63.0,63.0,0.0,5082.498762119251,162.9210791125593
2,Accomack,VA,16938.0,9172.0,7578.0,1227.0,19.0,32840.0,16079.0,16761.0,24408.0,"Accomack,VA",0.08800000000000001,0.603,0.28300000000000003,0.003,0.006999999999999999,0.0,2890.0,19803.0,9294.0,99.0,230.0,0.0,3736.297198538368,57.85627283800244
3,Ada,ID,259389.0,130699.0,120539.0,17451.0,181.0,435117.0,217999.0,217118.0,316189.0,"Ada,ID",0.079,0.852,0.012,0.004,0.026000000000000002,0.001,34374.0,370720.0,5221.0,1740.0,11313.0,435.0,4010.645412613159,41.59800697283719
4,Adair,IA,4183.0,2917.0,1197.0,222.0,1.0,7192.0,3552.0,3640.0,5572.0,"Adair,IA",0.017,0.966,0.003,0.0,0.004,0.0,122.0,6947.0,22.0,0.0,29.0,0.0,3086.7630700778645,13.904338153503893
5,Adair,KY,8766.0,7275.0,1391.0,517.0,22.0,19304.0,9632.0,9672.0,15280.0,"Adair,KY",0.018000000000000002,0.934,0.036000000000000004,0.001,0.001,0.0,347.0,18030.0,695.0,19.0,19.0,0.0,2678.2014090343973,113.96601740571901
6,Adair,MO,10337.0,6391.0,3705.0,578.0,0.0,25437.0,12013.0,13424.0,20169.0,"Adair,MO",0.023,0.905,0.024,0.002,0.023,0.001,585.0,23020.0,610.0,51.0,585.0,25.0,2272.2805362267563,0.0
7,Adair,OK,7108.0,5585.0,1387.0,855.0,11.0,22136.0,10987.0,11149.0,16050.0,"Adair,OK",0.064,0.408,0.003,0.41700000000000004,0.006,0.002,1417.0,9031.0,66.0,9231.0,133.0,44.0,3862.486447415974,49.69280809541019
8,Adams,CO,234599.0,94874.0,132951.0,15538.0,263.0,487850.0,245840.0,242010.0,306416.0,"Adams,CO",0.39299999999999996,0.511,0.03,0.005,0.038,0.001,191725.0,249291.0,14636.0,2439.0,18538.0,488.0,3184.995387926617,53.91001332376755
9,Adams,IA,2158.0,1528.0,590.0,87.0,1.0,3785.0,1870.0,1915.0,2992.0,"Adams,IA",0.012,0.968,0.004,0.001,0.006,0.0,45.0,3664.0,15.0,4.0,23.0,0.0,2298.5468956406867,26.42007926023778
10,Adams,ID,2586.0,1941.0,591.0,65.0,2.0,3946.0,2021.0,1925.0,3229.0,"Adams,ID",0.033,0.927,0.003,0.012,0.0,0.002,130.0,3658.0,12.0,47.0,0.0,8.0,1647.2377090724785,50.68423720223011
11,Adams,IL,33434.0,24131.0,8569.0,2223.0,25.0,66787.0,32698.0,34089.0,51303.0,"Adams,IL",0.015,0.92,0.039,0.002,0.008,0.001,1002.0,61444.0,2605.0,134.0,534.0,67.0,3328.492071810382,37.43243445580727
12,Adams,IN,14238.0,10685.0,3236.0,704.0,8.0,35018.0,17361.0,17657.0,23929.0,"Adams,IN",0.044000000000000004,0.937,0.009000000000000001,0.0,0.004,0.0,1541.0,32812.0,315.0,0.0,140.0,0.0,2010.3946541778516,22.845393797475584
13,Adams,MS,12268.0,5222.0,6914.0,1122.0,45.0,31583.0,15680.0,15903.0,22394.0,"Adams,MS",0.084,0.369,0.528,0.002,0.006,0.0,2653.0,11654.0,16676.0,63.0,189.0,0.0,3552.5440901750944,142.48171484659468
14,Adams,ND,1269.0,981.0,258.0,91.0,0.0,2368.0,1168.0,1200.0,1862.0,"Adams,ND",0.005,0.93,0.016,0.011000000000000001,0.026000000000000002,0.0,12.0,2202.0,38.0,26.0,62.0,0.0,3842.905405405406,0.0
15,Adams,NE,14602.0,10085.0,4213.0,922.0,15.0,31564.0,15981.0,15583.0,23151.0,"Adams,NE",0.094,0.8690000000000001,0.006,0.001,0.013000000000000001,0.0,2967.0,27429.0,189.0,32.0,410.0,0.0,2921.049296667089,47.52249398048409
16,Adams,OH,11905.0,9660.0,2130.0,270.0,6.0,27926.0,13960.0,13966.0,21041.0,"Adams,OH",0.01,0.966,0.004,0.006,0.002,0.0,279.0,26977.0,112.0,168.0,56.0,0.0,966.8409367614408,21.485354150254246
17,Adams,PA,56627.0,37563.0,18250.0,1184.0,31.0,101589.0,50055.0,51534.0,78227.0,"Adams,PA",0.068,0.895,0.013999999999999999,0.0,0.006999999999999999,0.0,6908.0,90922.0,1422.0,0.0,711.0,0.0,1165.4805146226463,30.515114825424014
18,Adams,WA,5109.0,3449.0,1562.0,935.0,11.0,19261.0,9750.0,9511.0,8899.0,"Adams,WA",0.623,0.35200000000000004,0.003,0.004,0.01,0.0,12000.0,6780.0,58.0,77.0,193.0,0.0,4854.368932038835,57.110222729868646
19,Adams,WI,11818.0,7362.0,4329.0,587.0,5.0,20111.0,10770.0,9341.0,16837.0,"Adams,WI",0.038,0.907,0.027000000000000003,0.006,0.005,0.0,764.0,18241.0,543.0,121.0,101.0,0.0,2918.8006563572176,24.862015812242056
