state,NAME,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,VotingAgeCitizen,Men %,Women %,Hispanic %,White %,Black %,Native %,Asian %,Pacific %,Biden %,Trump %,Republican,Democrat
AK,Alaska,260983,148624,102080,16705,83,738565,530553,0.523067029,0.476932971,0.054854044,0.52150338,0.012701478,0.340637302,0.064435861,0.005867934,0.391136587,0.569477705,TRUE,FALSE
AL,Alabama,2309900,1434159,843473,193985,2973,4850771,3651914,0.484625228,0.515374772,0.033494998,0.66176114,0.291163989,0.006168536,0.007229463,0.000181873,0.365155634,0.62087493,TRUE,FALSE
AR,Arkansas,1209372,757052,418051,113057,1958,2977944,2183895,0.490825549,0.509174451,0.051857385,0.770471986,0.164332767,0.005500849,0.007049236,0.000787776,0.345676103,0.625987703,TRUE,FALSE
AZ,Arizona,3366867,1651812,1663447,247473,5979,6809946,4690177,0.49707516,0.50292484,0.314592246,0.517688599,0.018469478,0.134786447,0.013173083,0.001290147,0.494063769,0.490608034,FALSE,TRUE
CA,California,16092730,5416035,10339137,935878,17671,38982847,24970109,0.49679745,0.50320255,0.310680822,0.565784317,0.030425024,0.017047276,0.073052122,0.003010439,0.642472533,0.33655166,FALSE,TRUE
CO,Colorado,3216881,1347516,1783149,109910,2288,5436519,3893361,0.502401445,0.497598555,0.203979704,0.760008907,0.01509488,0.00846204,0.011293324,0.001161145,0.554309905,0.41888898,FALSE,TRUE
CT,Connecticut,1821878,714176,1079168,71207,4616,3594478,2599794,0.487983512,0.512016488,0.117014467,0.778773525,0.066316733,0.001280246,0.03661503,0,0.592338236,0.391999903,FALSE,TRUE
DC,District of Colombia,309190,16306,285728,17369,646,672391,503112,0.474494751,0.525505249,0.10974359,0.369230769,0.481025641,0.002051282,0.037948718,0,0.924117856,0.052737799,FALSE,TRUE
DE,Delaware,504010,200603,296268,25126,710,943732,697329,0.484116253,0.515883747,0.087731323,0.672035641,0.206648389,0.004112406,0.029472241,0,0.58782167,0.398013928,FALSE,TRUE
FL,Florida,11075446,5667474,5294767,807412,16789,20278447,14461395,0.488911256,0.511088744,0.139965298,0.694666829,0.144820553,0.004033363,0.015737725,0.000776232,0.478063547,0.511715194,TRUE,FALSE
GA,Georgia,4992420,2457924,2471981,361982,7981,10201635,7155973,0.48706771,0.51293229,0.063360248,0.635948678,0.286083249,0.001930662,0.012210481,0.000466683,0.495146843,0.492331174,FALSE,TRUE
HI,Hawaii,573854,196602,365802,15154,219,1421658,1016468,0.50221713,0.49778287,0.118710308,0.31753786,0.009770396,0.001709819,0.375671715,0.176599902,0.637447853,0.342599337,FALSE,TRUE
IA,Iowa,1687692,897004,758211,130974,1733,3118102,2302495,0.496467082,0.503532918,0.045970192,0.925500465,0.013962909,0.002986937,0.010965742,0.000613754,0.449259107,0.531497453,TRUE,FALSE
ID,Idaho,867971,554019,286991,65088,630,1657375,1168167,0.501170224,0.498829776,0.129388907,0.843896008,0.003839571,0.015427673,0.006568904,0.000878938,0.33064584,0.638292063,TRUE,FALSE
IL,Illinois,6784154,2723857,3931852,423527,10075,12854526,9043520,0.491079951,0.508920049,0.049011795,0.884493545,0.052309133,0.001563994,0.012412337,0.000209197,0.579564084,0.401502826,FALSE,TRUE
IN,Indiana,3032024,1727234,1239770,182108,4364,6614418,4850327,0.492602524,0.507397476,0.039391365,0.92127244,0.026989154,0.001908881,0.01021748,0.00022068,0.408891882,0.569663697,TRUE,FALSE
KS,Kansas,1334330,753370,551199,83198,1025,2903820,2069337,0.497957862,0.502042138,0.099654585,0.865755291,0.017864267,0.007959134,0.008212114,0.00055461,0.413090465,0.564605457,TRUE,FALSE
KY,Kentucky,2135193,1326347,772223,108642,1489,4424376,3325139,0.49250448,0.50749552,0.023371327,0.932246846,0.037053961,0.001853121,0.005212432,0.000262314,0.361664262,0.621183659,TRUE,FALSE
LA,Louisiana,2148062,1255776,856034,183341,5926,4663461,3447638,0.489172955,0.510827045,0.035459192,0.627075331,0.322783404,0.006269642,0.008206089,0.000206343,0.398514568,0.584608824,TRUE,FALSE
MA,Massachusetts,3482216,1131042,2271763,159707,10013,6789319,4931669,0.4850893,0.5149107,0.092846608,0.803539823,0.058849558,0.002949853,0.04159292,0.000221239,0.65239003,0.324805239,FALSE,TRUE
MD,Maryland,2729976,914483,1766213,146145,4152,5996079,4248702,0.484696249,0.515303751,0.059952038,0.700068517,0.203879753,0.001969853,0.033872902,0.000256937,0.646970157,0.334978403,FALSE,TRUE
ME,Maine,786337,341949,420357,6711,147,1330158,1055130,0.489445615,0.510554385,0.014393071,0.961851993,0.007897083,0.007833397,0.007897083,0.000127372,0.534576142,0.434863169,FALSE,TRUE
MI,Michigan,5531329,2647004,2795649,197406,7699,9925568,7435282,0.491717854,0.508282146,0.03541307,0.90162762,0.039654747,0.012922318,0.010209618,0.000172626,0.505420849,0.478547561,FALSE,TRUE
MN,Minnesota,3272469,1485333,1718733,150672,2529,5490726,4010716,0.497535481,0.502464519,0.043520988,0.905236558,0.016589452,0.019701437,0.014647386,0.000304179,0.525209864,0.453887569,FALSE,TRUE
MO,Missouri,3010316,1711848,1242851,188325,3038,6075300,4567241,0.490730005,0.509269995,0.028572694,0.922760698,0.036289537,0.005085497,0.006432179,0.000859396,0.412863965,0.568660566,TRUE,FALSE
